TidalBase_Dmel_TE#	Flybase_code	Flybase_name	Embl_Symbol	Size	Comment	Class	Repbase_name	repClass	repFamily	Repbase_Notes	Accession	Brenneckebase_name	AltName	Length	Brenneckebase_Note
109	FBgn0042231	X-element	AF237761	4740	complete	retro-Non-LTR	BS2	LINE	Jockey		AF237761	X-element	ROXELEMENT	4740bp	
110	FBgn0026416	INE-1	U66884	611	?incomplete	retro-SINE	DNAREP1_DM	RC	Helitron		U66884	INE-1	INE1	611bp	Derived from U66884 (e1371475)
111	FBgn0005673	1360	nnnnnnnn	3409	complete	DNA-IR	PROTOP	DNA	P	Aka Hoppel	AC005453	1360	1360	3409bp	
111	FBgn0005673	1360	nnnnnnnn	3409	complete	DNA-IR	PROTOP_A	DNA	P	Aka Hoppel	AC005453	1360	1360	3409bp	
111	FBgn0005673	1360	nnnnnnnn	3409	complete	DNA-IR	PROTOP_B	DNA	P	Aka Hoppel	AC005453	1360	1360	3409bp	
112	FBgn0005773	Bari1	X67681	1728	complete	DNA-IR	BARI_DM	DNA	TcMar-Tc1		X67681	Bari1	DMBARI1	1728bp	AKA(S55767) Derived from X67681
113	FBgn0064134	Bari2	AF541951	1064	complete	DNA-IR	BARI1	DNA	TcMar-Tc1		AF541951	Bari2		1064bp	"Derived from AF541951 (Rel. 73,"
114	FBgn0001181	HB	X01748	1653	?incomplete	DNA-IR	FB4_DM	DNA	TcMar-Tc1		X01748	HB	DMTHB1	1653bp	Derived from X01748 (g8693)
115	FBgn0001210	hobo	M69216	2959	complete	DNA-IR	HOBO	DNA	hAT-hobo		M69216	hobo	DMHFL1	2959bp	Derived from M69216 (g157606)
116	FBgn0014967	hopper	X80025	1435	incomplete	DNA-IR	M4DM	DNA	CMC-Transib		X80025	hopper	DMTRDNA	1435bp	Derived from X80025 (g510507)
117	FBgn0067381	hopper2	AF541950	1593	incomplete	DNA-IR	M4DM	DNA	CMC-Transib		AF541950	hopper2	HOPPER2	1593bp	   
118	FBgn0063402	looper1	nnnnnnnn	1881	incomplete	DNA-IR	LOOPER1_DM	DNA	PiggyBac		nnnnnnnn	looper1	LOOPER1_DM	1881bp	   
119	FBgn0063401	mariner2	nnnnnnnn	912	complete	DNA-IR	Mariner2_DM	DNA	TcMar-Tc1		nnnnnnnn	mariner2	MARINER2	912bp	   
120	FBgn0002949	NOF	X15469;X51937	4347	complete	DNA-IR	FB4_DM	DNA	TcMar-Tc1		X15469	NOF	FB	4347bp	Derived from X51937 (g8297)
121	FBgn0003055	P-element	X06779	2907	complete	DNA-IR	PLACW_DM	DNA	P		X06779	P-element	PPI251	2907bp	"AKA(V01520,X69493) Derived from X06779"
122	FBgn0003122	pogo	X59837	2121	complete	DNA-IR	POGO	DNA	TcMar-Pogo		X59837	pogo	DMPOGOR11	2121bp	AKA(S90749) Derived from X59837
122	FBgn0003122	pogo	X59837	2121	complete	DNA-IR	POGON1	DNA	TcMar-Pogo		X59837	pogo	DMPOGOR11	2121bp	AKA(S90749) Derived from X59837
123	FBgn0063466	S2	nnnnnnnn	1735	complete	DNA-IR	S2_DM	DNA	TcMar-Tc1		nnnnnnnn	S2	S2	1735bp	   
124	FBgn0004905	S-element	U33463	1736	?incomplete	DNA-IR	S_DM	DNA	TcMar-Tc1		U33463	S-element	DM33463	1736bp	Derived from U33463 (g1006788)
125	FBgn0026410	Tc1	nnnnnnnn	1666	complete	DNA-IR	TC1_DM	DNA	TcMar-Tc1		nnnnnnnn	Tc1	TC1	1666bp	   
126	FBgn0069340	Tc1-2	nnnnnnnn	1644	complete	DNA-IR	TC1-2_DM	DNA	TcMar-Tc1		nnnnnnnn	Tc1-2	TC1-2	1644bp	   
127	FBgn0061191	Tc3	AC009537	1743	complete	DNA-IR					AC009537	Tc3	TC3	1743bp	   
128	FBgn0063372	transib1	nnnnnnnn	2167	complete	DNA-IR	TRANSIB1	DNA	CMC-Transib		nnnnnnnn	transib1	TRANSIB1	2167bp	   
129	FBgn0063371	transib2	nnnnnnnn	2844	complete	DNA-IR	TRANSIB2	DNA	CMC-Transib		nnnnnnnn	transib2	TRANSIB2	2844bp	   
130	FBgn0063370	transib3	nnnnnnnn	2883	complete	DNA-IR	TRANSIB3	DNA	CMC-Transib		nnnnnnnn	transib3	TRANSIB3	2883bp	   
131	FBgn0063369	transib4	nnnnnnnn	2656	complete	DNA-IR	TRANSIB4	DNA	CMC-Transib		nnnnnnnn	transib4	TRANSIB4	2656bp	
132	FBgn0000638	FB	V00246	1106	?incomplete	Foldback	FB4_DM	DNA	TcMar-Tc1		V00246	FB	DMTNFB	1106bp	AKA(J01084) Derived from V00246
133	FBgn0067418	Helitron	AE002840	564	?incomplete	Helitron	Helitron1_DM	RC	Helitron		AE002840	Helitron	HELITRON1_DM	564bp	
134		Transib5	Repbase	3001			Transib5	DNA	CMC-Transib		Repbase	Transib5		3001	
135		Transib-N1_DM	Repbase	514			Transib-N1_DM	DNA	CMC-Transib		Repbase	Transib-N1_DM		514	
